City;Population;Violent_crime;Murder;"Rape
(revised
definition)1";Rape;Robbery;Assault;Property_crime;Burglary;"Larceny-
theft";Motor_vehicle_theft;Arson3
New York;8396126;52384;335;;1112;19170;31767;141971;16606;117931;7434;
Buffalo;258789;3249;47;;145;1322;1735;12491;3458;8076;957;
Rochester;210562;2107;42;;92;918;1055;10051;2587;6855;609;132
Syracuse;143834;1192;21;;75;400;696;6473;1781;4298;394;57
Albany;97956;791;8;;30;227;526;4090;705;3243;142;
Niagara Falls;49574;584;3;;12;166;403;2807;746;1949;112;22
Schenectady;66041;607;8;;31;203;365;2800;769;1878;153;
Cheektowaga Town;78361;158;0;;11;48;99;2689;345;2271;73;2
Utica;61686;361;7;;27;102;225;2528;449;1997;82;
Yonkers;199134;1036;6;;25;390;615;2368;470;1662;236;10
Binghamton;46304;284;3;;19;101;161;2349;525;1767;57;
Greece Town;96667;151;0;;9;60;82;2303;332;1925;46;
Amherst Town;118296;107;1;;7;31;68;2118;204;1882;32;3
Colonie Town;78215;63;0;;0;31;32;1990;186;1753;51;10
Troy;49898;371;1;;14;145;211;1985;593;1305;87;5
Clarkstown Town;80705;65;0;;8;17;40;1515;99;1388;28;
Mount Vernon;68071;554;2;;7;228;317;1436;317;972;147;
New Rochelle;78800;175;0;;5;81;89;1391;150;1172;69;
Irondequoit Town;51506;93;1;;6;51;35;1353;271;1049;33;
Newburgh Town;30984;38;0;;5;15;18;1353;143;1182;28;2
Poughkeepsie Town;43866;39;1;;1;12;25;1339;125;1203;11;
White Plains;57559;78;1;;3;28;46;1232;77;1134;21;
Hamburg Town;45535;38;1;;1;12;24;1167;134;1012;21;6
Watertown;28179;109;0;;12;16;81;1165;169;953;43;
Jamestown;30658;168;0;;19;39;110;1140;281;829;30;
Tonawanda Town;58082;118;1;;5;26;86;1099;190;882;27;1
Gates Town;28468;57;0;;4;19;34;1051;95;922;34;
Newburgh;28571;435;5;;21;150;259;1040;304;673;63;15
Elmira;28921;81;0;;2;29;50;1027;224;790;13;
Southampton Town;50603;44;0;;6;16;22;1020;219;752;49;1
Hempstead Village;55198;433;10;;3;204;216;958;206;630;122;2
Johnson City Village;14866;69;1;;6;20;42;949;111;828;10;
Freeport Village;43214;152;0;;2;76;74;933;168;698;67;8
Riverhead Town;33789;64;0;;3;26;35;922;160;729;33;0
West Seneca Town;44821;35;1;;1;9;24;896;166;710;20;0
Auburn;27270;96;1;;20;22;53;859;132;721;6;
Middletown;27809;114;1;;6;47;60;852;136;683;33;4
Rotterdam Town;29146;33;2;;4;16;11;829;109;700;20;4
New Hartford Town and Village;20355;13;0;;1;3;9;806;72;730;4;
Brighton Town;36689;26;1;;2;10;13;793;142;623;28;
Poughkeepsie;30778;286;7;;16;100;163;787;189;589;9;
Wallkill Town;27940;40;0;;3;16;21;767;91;650;26;1
Dewitt Town;22681;20;0;;0;10;10;715;85;618;12;0
Kingston;23665;74;1;;4;25;44;687;112;565;10;1
Gloversville;15315;33;0;;9;6;18;686;111;560;15;0
Guilderland Town;33805;12;0;;3;5;4;672;48;623;1;
Rome;32557;47;4;;0;23;20;662;157;470;35;2
Lockport;20904;70;0;;6;24;40;649;120;523;6;
Saratoga Springs;27081;33;1;;3;8;21;642;84;550;8;
Oswego City;18139;54;1;;3;13;37;630;83;533;14;
Endicott Village;13122;46;0;;4;13;29;604;138;455;11;
Olean;14150;40;0;;5;5;30;593;76;508;9;
North Tonawanda;31176;41;1;;8;17;15;586;114;455;17;
Greenburgh Town;44787;48;1;;5;16;26;578;55;501;22;
Port Chester Village;29328;48;0;;2;19;27;572;67;483;22;0
Vestal Town;27980;16;0;;2;6;8;571;39;523;9;
Ramapo Town;87204;57;2;;5;9;41;567;88;466;13;
Batavia;15374;57;0;;7;13;37;559;103;454;2;
Lancaster Town;36369;15;0;;1;4;10;547;44;494;9;0
Woodbury Town;10685;3;0;;0;2;1;541;9;529;3;
Lackawanna;17965;89;1;;13;11;64;533;100;398;35;3
Glenville Town;21839;13;0;;0;2;11;492;57;424;11;
Niagara Town;8241;13;0;;0;2;11;489;48;427;14;
Plattsburgh City;19672;39;0;;3;4;32;483;79;396;8;
New Windsor Town;25767;31;0;;1;8;22;471;65;394;12;4
Webster Town and Village;43777;21;0;;2;3;16;469;101;361;7;
Fulton City;11739;24;0;;3;7;14;463;81;376;6;1
Bethlehem Town;34243;13;0;;0;3;10;442;50;388;4;
Cicero Town;29571;12;0;;0;2;10;440;45;393;2;
Ulster Town;12195;14;0;;3;2;9;437;25;410;2;
Oneida;11220;18;0;;2;4;12;434;68;357;9;
Corning;11087;35;0;;3;8;24;416;63;349;4;0
Massena Village;10808;22;0;;2;2;18;410;52;358;0;
Amsterdam;18182;30;0;;0;12;18;405;99;291;15;0
Spring Valley Village;32288;132;2;;9;34;87;404;53;335;16;
Manlius Town;24461;18;0;;0;4;14;402;56;343;3;0
Cortland;19331;18;0;;3;3;12;398;88;306;4;1
Ogdensburg;11072;23;0;;1;5;17;397;72;321;4;2
Herkimer Village;7693;53;0;;9;3;41;379;49;330;0;1
East Greenbush Town;16470;12;0;;0;4;8;373;36;330;7;4
Camillus Town and Village;24165;14;0;;1;0;13;348;36;307;5;1
Garden City Village;22596;10;0;;0;4;6;346;33;303;10;2
Orchard Park Town;29386;16;0;;2;4;10;346;37;297;12;0
Geneva;13194;28;1;;4;5;18;343;65;275;3;1
Glens Falls;14582;22;0;;2;3;17;343;50;288;5;
Southold Town;19963;12;0;;1;5;6;343;70;271;2;
Lakewood-Busti;7280;1;0;;0;1;0;341;23;316;2;
Niskayuna Town;22097;13;0;;1;5;7;341;51;282;8;
Haverstraw Town;37196;64;0;;3;16;45;340;83;244;13;3
Long Beach;33534;35;0;;1;13;21;337;42;277;18;
Newark Village;8978;27;0;;3;7;17;334;71;261;2;
Yorktown Town;36643;15;0;;0;2;13;334;45;287;2;
Norwich;7049;15;0;;4;0;11;325;25;297;3;0
Saugerties Town;19318;15;0;;3;5;7;319;51;268;0;0
Orangetown Town;37438;37;0;;1;13;23;317;41;262;14;
Johnstown;8531;14;0;;1;4;9;316;29;273;14;
Canandaigua;10470;22;0;;0;9;13;315;54;253;8;
Tonawanda;14987;34;0;;0;4;30;315;24;289;2;4
Evans Town;16292;17;0;;1;1;15;313;48;259;6;5
Oneonta City;13825;21;0;;3;11;7;311;69;238;4;3
Depew Village;15189;17;0;;3;2;12;310;54;251;5;2
Dunkirk;12329;40;0;;0;12;28;307;78;228;1;
East Hampton Town;19674;20;0;;2;1;17;300;56;237;7;
Seneca Falls Town;2362;12;0;;0;1;11;292;49;238;5;
Ellicott Town;5144;7;0;;1;1;5;288;53;235;0;
Port Jervis;8689;15;1;;3;3;8;284;67;214;3;3
Fishkill Town;20435;3;0;;0;1;2;276;28;243;5;0
Monticello Village;6582;48;0;;4;16;28;276;107;164;5;
Rockville Centre Village;24129;22;1;;1;11;9;271;30;223;18;0
Geddes Town;10442;7;0;;0;2;5;251;21;222;8;1
Peekskill;23908;30;0;;0;8;22;248;25;215;8;
Cohoes;16179;26;0;;1;11;14;243;65;163;15;
Ossining Village;25314;36;0;;0;21;15;243;46;192;5;0
Watervliet;10245;26;1;;3;11;11;242;58;163;21;
North Greenbush Town;12137;8;0;;0;2;6;230;32;196;2;
Mount Pleasant Town;26564;12;0;;0;6;6;226;25;198;3;0
Harrison Town;27876;6;0;;0;1;5;225;27;194;4;
Albion Village;6388;23;0;;3;4;16;223;53;165;5;
Kenmore Village;15256;26;1;;2;10;13;220;34;181;5;0
Cobleskill Village;4503;5;0;;0;3;2;218;14;204;0;1
Greenport Town;4065;2;0;;0;1;1;213;10;201;2;
Amityville Village;9519;9;0;;2;4;3;210;16;188;6;1
Fredonia Village;10988;10;0;;2;5;3;208;26;182;0;
Ogden Town;20026;17;0;;2;6;9;208;24;176;8;
Liberty Village;4285;21;0;;2;2;17;206;43;160;3;
New Paltz Town and Village;14248;34;0;;4;4;26;200;16;180;4;0
Owego Village;3818;9;0;;1;2;6;199;39;156;4;
Carmel Town;34462;10;0;;2;0;8;198;31;158;9;1
Hudson;6676;26;0;;1;8;17;198;25;172;1;
Waterloo Village;5175;11;0;;0;3;8;194;23;169;2;
Malone Village;5881;4;0;;0;2;2;192;28;161;3;2
Bath Village;5733;15;0;;1;3;11;191;32;157;2;2
Potsdam Village;9613;8;0;;1;0;7;190;17;168;5;
Solvay Village;6487;19;0;;0;6;13;186;38;142;6;0
Sidney Village;3805;7;0;;4;1;2;185;21;161;3;
Scarsdale Village;17564;1;0;;0;0;1;184;24;153;7;
Mamaroneck Village;19164;8;0;;1;2;5;181;23;150;8;0
Hyde Park Town;21397;18;0;;3;4;11;180;42;133;5;0
Lyons Village;3543;27;0;;5;3;19;179;34;142;3;
Ellenville Village;4124;17;0;;1;2;14;173;41;132;0;1
Pelham Village;6982;7;0;;1;2;4;172;22;149;1;
Eastchester Town;19800;2;0;;0;0;2;168;13;154;1;0
Brockport Village;8284;23;1;;1;5;16;165;29;132;4;
East Fishkill Town;29315;9;1;;0;1;7;165;18;141;6;
Lynbrook Village;19528;12;0;;1;3;8;164;18;128;18;
Wellsville Village;4574;11;0;;1;0;10;164;32;129;3;1
Fallsburg Town;12109;22;1;;0;0;21;162;65;96;1;
Geneseo Village;7891;6;0;;3;3;0;162;7;155;0;0
Hamburg Village;9517;8;0;;2;0;6;161;40;121;0;0
Rensselaer City;9517;19;0;;4;3;12;159;44;108;7;2
Mamaroneck Town;12146;1;0;;0;1;0;158;16;141;1;0
Bedford Town;17627;5;0;;0;1;4;156;26;127;3;
Salamanca;5691;18;0;;1;2;15;155;38;105;12;
Dansville Village;4605;2;0;;0;1;1;152;24;120;8;0
Deerpark Town;7827;7;0;;2;2;3;152;52;100;0;
Saranac Lake Village;5369;26;1;;1;1;23;150;30;115;5;
East Syracuse Village;3036;8;0;;0;4;4;147;19;121;7;0
Pelham Manor Village;5558;2;0;;0;1;1;147;14;130;3;
Walden Village;6887;18;1;;2;1;14;142;13;124;5;
Medina Village;5953;12;0;;0;3;9;139;37;100;2;
Monroe Village;8544;12;0;;0;5;7;137;16;118;3;0
Marlborough Town;8769;5;0;;0;1;4;135;35;97;3;1
Lewiston Town and Village;16175;12;0;;0;1;11;134;30;96;8;
East Aurora-Aurora Town;13774;5;0;;0;2;3;131;24;105;2;0
Little Falls;4912;16;0;;3;1;12;130;18;111;1;
Ilion Village;8002;15;0;;1;2;12;128;21;106;1;
Scotia Village;7700;5;1;;0;1;3;126;14;112;0;
East Rochester Village;6596;8;1;;0;3;4;125;25;97;3;
Lloyd Town;10751;6;0;;0;0;6;118;20;95;3;0
Southampton Village;3161;3;0;;0;1;2;118;9;105;4;
Mechanicville;5213;8;0;;0;3;5;114;21;89;4;
Montgomery Town;8961;6;0;;2;1;3;114;22;91;1;
South Glens Falls Village;3640;6;0;;1;1;4;114;17;95;2;
Crawford Town;9264;11;0;;0;2;9;113;16;97;0;
Hornell;8481;5;0;;0;0;5;112;18;94;0;
Hudson Falls Village;7187;6;0;;0;2;4;112;22;90;0;
North Syracuse Village;6964;10;0;;0;0;10;111;14;94;3;0
Penn Yan Village;5123;4;0;;1;1;2;111;21;89;1;0
Horseheads Village;6701;2;0;;0;0;2;110;20;90;0;0
Tarrytown Village;11449;6;0;;0;3;3;110;12;94;4;0
Mount Kisco Village;11028;17;0;;1;6;10;108;10;98;0;0
Stony Point Town;15307;12;0;;0;1;11;107;18;83;6;
Plattekill Town;10374;8;0;;1;2;5;106;28;77;1;
Dobbs Ferry Village;11021;1;0;;0;0;1;104;13;89;2;0
Kirkland Town;8296;0;0;;0;0;0;103;21;81;1;
Menands Village;3991;5;0;;0;1;4;101;13;87;1;
Blooming Grove Town;12001;8;0;;1;0;7;99;20;72;7;
Dryden Village;1913;3;0;;0;1;2;99;6;93;0;
Perry Village;3633;3;0;;0;0;3;99;14;84;1;
Kent Town;13381;1;0;;1;0;0;98;22;71;5;0
Schodack Town;11573;4;0;;0;1;3;97;25;70;2;
Ballston Spa Village;5418;8;0;;0;3;5;94;16;78;0;1
Ticonderoga Town;4982;11;0;;4;0;7;94;23;71;0;
Canton Village;6794;3;0;;0;1;2;93;12;80;1;
Watkins Glen Village;1862;6;0;;0;0;6;92;10;80;2;
Fort Plain Village;2265;4;0;;0;1;3;90;23;65;2;
Elmira Heights Village;4079;2;0;;0;1;1;89;9;78;2;0
Baldwinsville Village;7473;5;0;;0;1;4;88;10;77;1;0
Rye Brook Village;9480;2;0;;0;2;0;88;9;77;2;0
Larchmont Village;5930;2;0;;0;0;2;87;8;77;2;
Coeymans Town;7458;39;0;;2;0;37;86;13;69;4;1
Le Roy Village;4354;11;0;;2;1;8;84;17;67;0;
Tupper Lake Village;3642;3;0;;0;0;3;83;22;59;2;
Cuba Town;3209;5;0;;1;0;4;81;7;72;2;0
Hastings-on-Hudson Village;7937;1;0;;0;1;0;81;4;75;2;0
Shawangunk Town;14205;3;0;;0;0;3;80;20;60;0;
Warsaw Village;3453;6;0;;1;0;5;78;5;73;0;0
New Castle Town;17864;2;0;;0;0;2;77;13;62;2;0
Whitestown Town;9141;0;0;;0;0;0;77;13;61;3;0
Mount Morris Village;2912;2;0;;0;1;1;74;10;63;1;
Painted Post Village;2116;1;0;;0;0;1;73;5;66;2;1
Floral Park Village;15926;14;0;;2;7;5;72;16;44;12;0
Sag Harbor Village;2279;3;0;;0;1;2;71;17;53;1;0
North Castle Town;12077;3;0;;0;0;3;68;12;53;3;
Walton Village;3012;6;0;;1;0;5;68;18;50;0;
East Hampton Village;1104;0;0;;0;0;0;66;4;60;2;0
Trumansburg Village;1820;2;0;;1;1;0;66;6;58;2;
Chittenango Village;5016;1;0;;0;0;1;65;11;53;1;
Goshen Village;5400;2;0;;1;1;0;64;2;62;0;0
New York Mills Village;3324;2;0;;0;0;2;64;16;47;1;0
Glen Cove;27134;3;0;;0;1;2;62;5;54;3;0
Shandaken Town;3043;4;0;;0;0;4;62;17;44;1;
Whitehall Village;2604;6;0;;0;0;6;62;12;49;1;
Macedon Town and Village;9132;4;0;;0;1;3;61;7;52;2;
Canastota Village;4704;4;0;;0;0;4;60;8;51;1;
Carthage Village;3862;1;0;;1;0;0;60;12;47;1;
Clyde Village;2049;4;0;;0;3;1;60;16;43;1;
Rosendale Town;6026;1;0;;0;0;1;60;16;44;0;
Suffern Village;10886;9;0;;0;1;8;60;11;48;1;0
Cayuga Heights Village;3749;1;0;;0;1;0;59;12;47;0;
Northport Village;7411;6;0;;0;1;5;59;11;44;4;2
Waterford Town and Village;8392;4;0;;0;0;4;59;6;52;1;0
Cazenovia Village;2732;0;0;;0;0;0;58;5;52;1;
Lowville Village;3457;2;0;;0;0;2;58;7;47;4;
Sleepy Hollow Village;9996;8;1;;0;1;6;58;9;47;2;0
Washingtonville Village;5828;2;0;;0;1;1;58;5;51;2;0
Woodstock Town;5931;2;0;;0;0;2;58;13;45;0;
Pulaski Village;2354;1;0;;0;0;1;57;12;44;1;0
Old Brookville Village;2171;4;0;;0;1;3;54;16;28;10;0
Waverly Village;4337;5;0;;0;1;4;54;9;41;4;
Central Square Village;1835;3;0;;0;2;1;53;6;45;2;0
Croton-on-Hudson Village;8180;1;0;;0;1;0;53;8;43;2;
Fairport Village;5335;5;0;;1;0;4;53;13;37;3;
Lake Placid Village;2491;2;0;;0;0;2;51;11;38;2;1
Frankfort Town;5033;0;0;;0;0;0;50;22;27;1;
Bronxville Village;6390;0;0;;0;0;0;47;5;39;3;0
St. Johnsville Village;1691;3;0;;0;0;3;47;8;39;0;
Alfred Village;4089;5;0;;0;3;2;46;10;36;0;
Camden Village;2219;5;0;;0;0;5;46;4;42;0;0
Liverpool Village;2311;2;0;;0;1;1;46;6;39;1;0
Montgomery Village;4188;2;0;;0;0;2;45;3;42;0;0
Cambridge Village;1854;2;0;;0;0;2;44;12;31;1;
Florida Village;2842;0;0;;0;0;0;44;5;39;0;
Westhampton Beach Village;1732;2;0;;0;0;2;44;4;37;3;0
Cornwall Town;9543;1;0;;0;0;1;42;10;32;0;
Green Island Village;2621;2;0;;0;1;1;42;7;31;4;
Rhinebeck Village;2635;2;0;;0;0;2;42;0;41;1;0
Dolgeville Village;2191;7;0;;0;0;7;41;6;34;1;
Palmyra Village;3475;4;0;;0;0;4;41;9;31;1;
Quogue Village;977;0;0;;0;0;0;41;13;27;1;0
Shelter Island Town;2412;3;0;;0;0;3;41;2;39;0;0
Arcade Village;2053;0;0;;0;0;0;39;3;35;1;0
Highland Falls Village;3847;3;0;;0;0;3;39;8;31;0;0
Old Westbury Village;4625;1;0;;0;0;1;39;6;29;4;0
Groton Village;2381;2;0;;2;0;0;38;6;31;1;
Hoosick Falls Village;3466;9;0;;1;1;7;38;10;26;2;
Sherrill;3064;4;0;;0;0;4;37;14;23;0;
Delhi Village;2985;1;0;;0;0;1;36;4;30;2;
Whitesboro Village;3733;4;0;;0;0;4;36;14;21;1;0
Tuckahoe Village;6578;0;0;;0;0;0;35;7;27;1;0
Ardsley Village;4523;5;0;;0;3;2;33;4;28;1;0
Frankfort Village;2579;5;0;;0;0;5;33;4;28;1;
Homer Village;3270;0;0;;0;0;0;33;3;29;1;0
Pound Ridge Town;5200;3;0;;0;0;3;33;15;18;0;
Chatham Village;1733;3;0;;0;0;3;32;5;27;0;0
Franklinville Village;1702;1;0;;0;1;0;32;0;32;0;0
Lake Success Village;3009;2;0;;0;0;2;32;10;21;1;
Mount Hope Town;7112;0;0;;0;0;0;32;6;25;1;
Brant Town;2065;4;0;;0;1;3;31;9;20;2;0
Eden Town;7684;1;0;;0;0;1;31;7;24;0;0
Port Dickinson Village;1602;0;0;;0;0;0;31;0;31;0;0
Red Hook Village;1947;1;0;;0;0;1;30;6;24;0;0
Gowanda Village;2663;5;0;;0;0;5;29;11;16;2;
Granville Village;2498;6;0;;1;0;5;26;7;19;0;1
Avon Village;3333;1;0;;0;1;0;25;3;20;2;
Chester Town;7990;0;0;;0;0;0;25;9;16;0;
Weedsport Village;1797;0;0;;0;0;0;25;5;20;0;0
Addison Town and Village;2577;3;0;;0;0;3;24;3;20;1;0
Bolton Town;2325;2;0;;0;0;2;24;4;20;0;0
Sodus Village;1805;0;0;;0;0;0;24;2;22;0;
Stillwater Town;6587;1;0;;0;0;1;24;4;18;2;1
Irvington Village;6530;0;0;;0;0;0;23;4;19;0;0
Cornwall-on-Hudson Village;2978;2;0;;0;0;2;22;8;14;0;
Pleasantville Village;7100;0;0;;0;0;0;22;1;21;0;0
Greenwood Lake Village;3118;2;0;;0;0;2;21;3;16;2;
Malverne Village;8542;4;0;;0;3;1;21;3;17;1;0
Boonville Village;2054;1;0;;0;0;1;20;6;14;0;0
Great Neck Estates Village;2794;0;0;;0;0;0;20;6;12;2;0
Middleport Village;1813;2;0;;0;0;2;19;1;16;2;0
Oyster Bay Cove Village;4233;0;0;;0;0;0;19;3;16;0;0
Piermont Village;2550;1;0;;1;0;0;19;6;13;0;
Lloyd Harbor Village;3683;0;0;;0;0;0;18;2;16;0;0
Sands Point Village;2715;0;0;;0;0;0;18;4;13;1;0
Woodridge Village;829;7;0;;0;0;7;17;8;9;0;0
Akron Village;2846;3;0;;0;0;3;16;1;15;0;0
Cooperstown Village;1827;1;0;;0;0;1;16;2;14;0;
Friendship Town;1960;0;0;;0;0;0;16;6;10;0;0
Kings Point Village;5042;1;0;;0;0;1;16;4;11;1;0
Cairo Town;6577;0;0;;0;0;0;15;1;14;0;
Moravia Village;1263;3;0;;0;0;3;15;0;15;0;0
Sherburne Village;1351;1;0;;0;0;1;15;7;8;0;0
Black River;1410;0;0;;0;0;0;14;2;12;0;0
Deposit Village;1628;0;0;;0;0;0;14;6;8;0;0
Brewster;2358;0;0;;0;0;0;13;3;10;0;0
Marcellus Village;1792;0;0;;0;0;0;13;2;11;0;0
Oxford Village;1433;2;0;;0;1;1;13;1;12;0;0
Adams Village;1861;0;0;;0;0;0;12;2;10;0;0
Canisteo Village;2246;3;0;;0;1;2;12;3;9;0;0
Huntington Bay Village;1428;1;0;;0;0;1;12;0;11;1;1
Pine Plains Town;2460;1;0;;0;0;1;12;1;9;2;0
Briarcliff Manor Village;7976;1;0;;0;0;1;11;1;10;0;0
Allegany Village;1781;3;0;;0;0;3;10;0;10;0;0
Brownville Village;1174;0;0;;0;0;0;10;0;10;0;0
Hammondsport Village;656;0;0;;0;0;0;10;1;9;0;0
Oriskany Village;1385;0;0;;0;0;0;10;2;8;0;0
Skaneateles Village;2450;0;0;;0;0;0;10;2;8;0;0
Germantown Town;1926;0;0;;0;0;0;9;2;7;0;0
Moriah Town;3628;7;0;;0;0;7;9;3;5;1;0
Carroll Town;3481;0;0;;0;0;0;8;3;5;0;0
Dexter Village;1122;0;0;;0;0;0;8;2;6;0;0
Nissequogue Village;1754;0;0;;0;0;0;8;1;6;1;0
Portville Village;997;0;0;;0;0;0;8;1;7;0;0
Attica Village;2522;2;0;;0;0;2;5;0;4;1;0
Glen Park Village;526;0;0;;0;0;0;5;0;5;0;0
Bolivar Village;1022;1;0;;0;0;1;4;2;2;0;0
Cattaraugus Village;980;0;0;;0;0;0;4;0;4;0;0
Asharoken Village;658;0;0;;0;0;0;2;0;2;0;0
Cape Vincent Village;762;0;0;;0;0;0;2;0;2;0;0
Jordan Village;1350;1;0;;0;0;1;2;0;2;0;0
Elmira Town;5948;0;0;;0;0;0;1;0;1;0;0
Greene Village;1553;0;0;;0;0;0;1;1;0;0;0
Northville Village;1097;0;0;;0;0;0;1;0;1;0;0
Manchester Village;1688;0;0;;0;0;0;0;0;0;0;0
New Berlin Town;1622;0;0;;0;0;0;0;0;0;0;0
Port Byron Village;1274;0;0;;0;0;0;0;0;0;0;0
Schoharie Village;872;0;0;;0;0;0;0;0;0;0;0
Shortsville Village;1437;0;0;;0;0;0;0;0;0;0;0
Tuxedo Park Village;615;0;0;;0;0;0;0;0;0;0;0
